"In the superposition theorem, what is the final value of the capacitor voltage ($V_C$) in a circuit with both DC (20V) and AC (10 sin 377t) sources?",The final voltage is the sum of the DC steady-state value and the AC response: $V_C = 20 + 8 \sin(377t - 37^\circ)V$.
"For a balanced wye-wye system with $V_{an} = 120\angle0^\circ$V and $Z_A = 12\angle0^\circ\Omega$, what is the line current $I_A$?",$I_A = \frac{V_{an}}{Z_A} = \frac{120\angle0^\circ}{12\angle0^\circ} = 10\angle0^\circ$A.
What is the formula for calculating the neutral current ($I_N$) in a balanced three-phase wye-connected system?,"In a balanced system, the neutral current is the vector sum of the line currents, which equals zero: $I_N = I_A + I_B + I_C = 0$."
"To achieve maximum power transfer in an AC circuit, the load impedance ($Z_L$) must be what in relation to the Thevenin impedance ($Z_{Th}$)?","The load impedance ($Z_L$) must be the complex conjugate of the Thevenin impedance ($Z_{Th}$). For $Z_{Th} = R_{Th} + jX_{Th}$, $Z_L = R_{Th} - jX_{Th}$."
"In DC motor and generator calculations, the machine constant 'k' is determined by the formula _____, where N is the number of turns per coil, p is the number of poles, and a is the number of parallel paths.",$k = \frac{Np}{a\pi}$
"The induced voltage ($E_A$) in a DC generator is a function of the machine constant (k), magnetic flux ($\phi$), and angular velocity ($\omega_m$), given by the equation: _____.",$E_A = k \cdot \phi \cdot \omega_m$
"For a three-phase SCR drive for a DC motor, what is the equation for the average output voltage ($V_{avg}$) in terms of the peak line-to-neutral voltage ($V_m$) and the firing angle ($\alpha$)?",$V_{avg} = (\frac{3\sqrt{3}}{2\pi}) \cdot V_m \cdot \cos(\alpha)$
"In transformer analysis, what is the formula for the turns ratio 'a' based on the primary ($V_1$) and secondary ($V_2$) voltages?",$a = \frac{V_1}{V_2}$
"To find the Thevenin equivalent impedance ($Z_{th}$) for a transformer matching a source impedance ($Z_1$) to a load impedance ($Z_L$), the required turns ratio 'a' is calculated as _____.",$a = \sqrt{\frac{Z_1}{Z_L}}$
The percentage regulation of a transformer is calculated using the formula: _____.,% regulation = $\frac{(V_{input} - V_{output})}{V_{input}} \times 100\%$
"What formula is used to calculate the air gap power ($P_{ag}$) in a three-phase induction motor, given the mechanical power developed ($P_m$) and the slip (s)?",$P_{ag} = \frac{P_m}{(1 - s)}$
The rotor copper loss ($P_{cu2}$) in an induction motor is directly proportional to the slip (s) and the air gap power ($P_{ag}$) according to the formula: _____.,$P_{cu2} = s \cdot P_{ag}$
The synchronous speed ($N_s$) of an induction motor in RPM is determined by the frequency (f) and the number of poles (p) using which formula?,$N_s = \frac{120f}{p}$
What is the formula for the torque (T) developed by an induction motor in terms of air gap power ($P_{ag}$) and synchronous angular speed ($\omega_s$)?,$T = \frac{P_{ag}}{\omega_s}$
"In power system analysis, what does the term 'slack bus' (or swing bus) refer to?","The slack bus is a reference bus in the power system for which the voltage magnitude and phase angle are specified, and it supplies the transmission losses."
What is the formula for the inductive reactance per meter ($L_T$) of a two-wire transmission line with conductor spacing D and geometric mean radius r'?,$L_T = (4 \times 10^{-7}) \ln(\frac{D}{r'})$ H/m
"The total capacitance to neutral ($C$) for a three-conductor transmission line can be calculated using the formula $C = \pi \epsilon / \ln(\frac{D}{a})$, where D is the spacing and a is the conductor ____.",radius
"In South Africa, what is the primary function of the CCMA (Commission for Conciliation, Mediation and Arbitration)?","The CCMA is a dispute resolution body that handles labour disputes through processes like conciliation, mediation, and arbitration."
What does QCTO stand for in the context of South African education?,Quality Council for Trades and Occupations.
What is the purpose of the National Qualifications Framework (NQF) in South Africa?,The NQF is a framework on which standards and qualifications are registered to provide a basis for improving the quality and transparency of education and training.
"In the context of electrical design, what is the purpose of a short-circuit analysis?",To determine the available fault current at each bus to ensure equipment has adequate short-circuit interrupting ratings.
